ProcessID,count,NewProcessName,ProcessName,Application
0x00000000000021c8,2,C:\Users\taro\AppData\Local\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,C:\Users\taro\AppData\Local\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,
8460,2,,,\device\harddiskvolume3\windows\system32\compattelrunner.exe
8356,2,,,
8364,2,,,
0x0000000000000c14,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x0000000000000c24,2,C:\Windows\System32\sppsvc.exe,C:\Windows\System32\sppsvc.exe,
5640,2,,,\device\harddiskvolume3\windows\system32\svchost.exe
5700,2,,,\device\harddiskvolume3\windows\system32\compattelrunner.exe
5704,2,,,
0x0000000000000878,2,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24010.12-0\MpCmdRun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24010.12-0\MpCmdRun.exe,
0x0000000000000824,2,C:\Program Files\RUXIM\RUXIMICS.exe,C:\Program Files\RUXIM\RUXIMICS.exe,
420,2,,,\device\harddiskvolume3\users\taro\appdata\local\microsoft\edgeupdate\microsoftedgeupdate.exe
0x00000000000016d4,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x00000000000016e4,2,C:\Windows\System32\taskhostw.exe,C:\Windows\System32\taskhostw.exe,
0x00000000000016f8,2,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{4662CB1C-F771-47CC-9C76-9929F3C95712}\EDGEMITMP_A7674.tmp\setup.exe,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{4662CB1C-F771-47CC-9C76-9929F3C95712}\EDGEMITMP_A7674.tmp\setup.exe,
0x0000000000002250,2,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,
0x00000000000016b4,2,C:\Program Files\RUXIM\PLUGScheduler.exe,C:\Program Files\RUXIM\PLUGScheduler.exe,
0x00000000000016d0,2,C:\Windows\System32\gpupdate.exe,C:\Windows\System32\gpupdate.exe,
0x0000000000002334,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x000000000000233c,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x0000000000002308,2,C:\Windows\System32\SearchFilterHost.exe,C:\Windows\System32\SearchFilterHost.exe,
0x00000000000022bc,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x00000000000022d8,2,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
0x00000000000015e4,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x00000000000015fc,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x0000000000001604,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x00000000000023dc,2,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
0x00000000000023e8,2,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,
0x0000000000000b40,2,C:\Windows\System32\gpupdate.exe,C:\Windows\System32\gpupdate.exe,
0x0000000000000b58,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x0000000000000b68,2,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,
4440,2,,,\device\harddiskvolume3\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe
4444,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
0x0000000000001f9c,2,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
0x0000000000001fac,2,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
0x0000000000001fb0,2,C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngentask.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngentask.exe,
0x0000000000002190,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
8528,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
0x0000000000002038,2,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngentask.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngentask.exe,
0x0000000000002048,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x0000000000002018,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.040.0225.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.040.0225.0003\FileCoAuth.exe,
0x00000000000017bc,2,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,
0x00000000000017d0,2,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,
0x00000000000017d4,2,C:\Windows\System32\MusNotification.exe,C:\Windows\System32\MusNotification.exe,
0x00000000000016a0,2,C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\backgroundTaskHost.exe,
0x0000000000002238,2,C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\backgroundTaskHost.exe,
0x00000000000021d0,2,C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\backgroundTaskHost.exe,
0x0000000000002114,2,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24020.7-0\MpCmdRun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24020.7-0\MpCmdRun.exe,
0x00000000000020d0,2,C:\Users\taro\AppData\Local\Temp\BD09E9E2-65A4-46A0-A840-7677C50FD7FB\DismHost.exe,C:\Users\taro\AppData\Local\Temp\BD09E9E2-65A4-46A0-A840-7677C50FD7FB\DismHost.exe,
0x00000000000020f4,2,C:\Windows\System32\sc.exe,C:\Windows\System32\sc.exe,
0x00000000000020c4,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x0000000000002188,2,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
0x00000000000004d4,2,C:\Windows\System32\MoUsoCoreWorker.exe,C:\Windows\System32\MoUsoCoreWorker.exe,
0x00000000000004b0,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x0000000000002154,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x0000000000002158,2,C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,
0x0000000000001760,2,C:\Windows\System32\sppsvc.exe,C:\Windows\System32\sppsvc.exe,
0x0000000000001774,2,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,
0x0000000000001754,2,C:\Windows\System32\sihost.exe,C:\Windows\System32\sihost.exe,
0x000000000000169c,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x0000000000000a04,2,C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\backgroundTaskHost.exe,
0x0000000000001ed8,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x00000000000018c8,2,C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,
0x0000000000001ea8,2,C:\Users\taro\AppData\Local\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,C:\Users\taro\AppData\Local\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,
0x000000000000186c,2,,C:\Windows\explorer.exe,
0x0000000000001874,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x0000000000001790,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x00000000000017a8,2,C:\Windows\System32\MusNotification.exe,C:\Windows\System32\MusNotification.exe,
5540,2,,,
556,2,,,\device\harddiskvolume3\windows\system32\compattelrunner.exe
5620,2,,,\device\harddiskvolume3\windows\system32\compattelrunner.exe
5452,2,,,
5464,2,,,\device\harddiskvolume3\windows\system32\windowspowershell\v1.0\powershell.exe
5492,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
5496,2,,,
5416,2,,,
0x00000000000003c4,2,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{E511C3D1-B3BF-4EC0-AE1E-477C765D826B}\MicrosoftEdge_X64_122.0.2365.92_122.0.2365.80.exe,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{E511C3D1-B3BF-4EC0-AE1E-477C765D826B}\MicrosoftEdge_X64_122.0.2365.92_122.0.2365.80.exe,
0x00000000000003d8,2,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,C:\Users\taro\AppData\Local\Microsoft\OneDrive\24.025.0204.0003\FileCoAuth.exe,
0x00000000000003e0,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
4492,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
4296,2,,,
4328,2,,,\device\harddiskvolume3\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe
4348,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
4356,2,,,\device\harddiskvolume3\windows\system32\compattelrunner.exe
0x0000000000001fb4,2,C:\Windows\System32\WaaSMedicAgent.exe,C:\Windows\System32\WaaSMedicAgent.exe,
8552,2,,,\device\harddiskvolume3\users\taro\appdata\local\microsoft\edgeupdate\microsoftedgeupdate.exe
8556,2,,,\device\harddiskvolume3\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe
8600,2,,,\device\harddiskvolume3\windows\system32\backgroundtaskhost.exe
0x00000000000003ec,2,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,
0x00000000000003f8,2,C:\Windows\System32\sc.exe,C:\Windows\System32\sc.exe,
0x0000000000000404,2,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,
0x0000000000000414,2,C:\Windows\System32\MoUsoCoreWorker.exe,C:\Windows\System32\MoUsoCoreWorker.exe,
0x0000000000000b10,2,C:\Windows\System32\backgroundTaskHost.exe,C:\Windows\System32\backgroundTaskHost.exe,
4624,2,,,
0x0000000000000adc,2,C:\Windows\System32\conhost.exe,C:\Windows\System32\conhost.exe,
0x0000000000000b00,2,C:\Windows\System32\MoUsoCoreWorker.exe,C:\Windows\System32\MoUsoCoreWorker.exe,
4884,2,,,\device\harddiskvolume3\program files (x86)\microsoft\edgeupdate\microsoftedgeupdate.exe
